Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
165;100;23122144.00;473;10.09;-1.39;-0.84;0.03
166;100;23208268.00;473;10.29;1.34;-0.75;0.13
167;100;23294380.00;472;10.29;-1.21;-0.54;0.22
168;100;23380504.00;469;10.05;1.39;-0.67;0.23
169;100;23466616.00;467;9.72;-1.28;-0.60;0.17
170;100;23552736.00;467;9.84;1.27;-0.82;0.09
171;100;23638848.00;471;10.33;-0.83;-0.59;0.12
172;100;23724976.00;471;10.45;1.06;-0.77;0.31
173;100;23811084.00;469;10.53;-0.32;-0.50;0.13
174;100;23897200.00;470;10.45;0.59;-0.99;0.38
175;100;23983328.00;472;10.57;-0.17;-0.19;0.26
176;100;24069456.00;473;10.33;-0.08;-1.17;0.33
177;100;24155580.00;471;10.17;0.44;0.01;0.08
178;100;24241688.00;468;9.92;0.02;-1.26;0.24
179;100;24327800.00;468;10.09;0.84;-0.68;0.17
180;100;24413924.00;469;9.76;-0.77;-1.05;0.25
181;100;24500040.00;469;10.13;1.07;-0.55;0.58
182;100;24586164.00;469;9.96;-1.44;-1.28;0.33
183;100;24672276.00;471;9.96;1.34;-0.76;0.01
184;100;24758428.00;471;9.84;-1.61;-1.01;0.02
185;100;24844516.00;467;9.68;1.46;-0.46;0.12
186;100;24930640.00;466;10.05;-1.26;-0.70;0.04
187;100;25016756.00;467;9.60;1.18;-0.68;0.43
188;100;25102884.00;468;9.80;-1.11;-0.70;0.09
189;100;25189020.00;468;9.48;0.80;-1.07;0.16
190;100;25275128.00;468;9.68;-0.72;-0.27;0.14
191;100;25361244.00;468;9.64;0.28;-1.24;0.21
192;100;25447356.00;469;9.88;-0.26;-0.31;0.00
193;100;25533488.00;468;9.84;-0.17;-1.23;0.27
194;100;25619592.00;468;9.76;0.43;-0.55;0.32
195;100;25705736.00;468;9.76;-1.03;-1.50;0.11
196;100;25791836.00;470;10.21;1.27;-0.54;0.34
197;100;25877976.00;472;10.25;-1.47;-1.29;0.34
198;100;25964072.00;472;10.09;1.53;-0.89;0.29
199;100;26050192.00;470;9.48;-1.38;-0.90;0.09
200;100;26136316.00;471;9.35;1.05;-0.95;0.19
201;100;26222428.00;470;9.44;-0.75;-0.62;0.24
202;100;26308552.00;470;10.05;0.33;-0.90;0.32
203;100;26394688.00;469;9.96;-0.04;-0.15;0.00
204;100;26480804.00;470;9.84;-0.35;-0.97;0.30
205;100;26566940.00;471;9.68;0.52;-0.28;0.27
206;100;26653072.00;470;10.05;-1.18;-1.35;0.11
207;100;26739196.00;469;10.13;1.16;-0.74;0.33
208;100;26825344.00;466;9.68;-1.25;-1.12;0.23
209;100;26911452.00;464;9.72;1.36;-0.53;0.01
210;100;26997584.00;466;9.92;-1.53;-1.00;0.25
211;100;27083696.00;465;10.05;1.24;-0.48;0.02
212;100;27169816.00;466;10.05;-1.12;-0.62;0.17
213;100;27255932.00;468;9.88;1.25;-0.61;0.32
214;100;27342056.00;467;10.25;-0.39;-0.53;0.19
215;100;27428176.00;468;9.76;0.25;-1.27;0.35
216;100;27514284.00;468;9.68;0.55;-0.14;0.11
217;100;27600416.00;470;9.60;-0.81;-1.20;0.26
218;100;27686528.00;470;9.68;1.07;-0.86;0.57
219;100;27772652.00;471;9.76;-1.54;-1.06;0.35
220;100;27858772.00;471;9.64;1.31;-0.61;0.13
221;100;27944860.00;472;9.64;-0.69;-0.47;0.22
222;100;28030972.00;470;9.48;0.47;-0.83;0.40
223;100;28117116.00;470;9.60;0.36;-0.37;0.02
224;100;28203236.00;470;10.05;-0.69;-1.26;0.15
225;100;28289336.00;468;10.25;0.72;-0.47;0.28
226;100;28375456.00;467;10.21;-1.54;-1.23;0.26
227;100;28461572.00;466;9.64;1.20;-0.85;0.15
228;100;28547696.00;466;9.84;-1.27;-0.78;0.01
229;100;28633812.00;468;10.05;1.11;-0.50;0.32
230;100;28719920.00;467;10.41;-0.72;-0.36;0.12
231;100;28806052.00;466;10.05;0.27;-1.36;0.59
232;100;28892160.00;466;9.56;-0.00;-0.47;0.20
233;100;28978276.00;467;9.64;-0.33;-1.21;0.29
234;100;29064384.00;467;9.92;0.96;-0.68;0.28
235;100;29150532.00;467;10.21;-1.45;-1.15;0.21
236;100;29236644.00;465;9.76;1.48;-0.65;0.30
237;100;29322748.00;465;9.84;-1.40;-0.83;0.25
238;100;29408872.00;465;9.68;1.34;-0.82;0.18
239;100;29494996.00;462;10.17;-0.80;-0.56;0.00
240;100;29581108.00;462;10.05;0.69;-1.09;0.34
241;100;29667212.00;464;9.92;0.25;-0.31;0.34
242;100;29753348.00;465;9.92;-0.45;-1.30;0.07
243;100;29839448.00;466;9.88;0.90;-0.45;0.46
244;100;29925584.00;468;9.80;-1.53;-1.32;0.26
245;100;30011708.00;471;9.96;1.15;-0.89;0.11
246;100;30097808.00;473;9.72;-1.04;-0.57;0.02
247;100;30183936.00;473;10.21;0.15;-1.19;0.47
248;100;30270052.00;473;9.56;0.60;-0.40;0.08
249;100;30356176.00;471;9.92;-0.99;-1.19;0.19
250;100;30442284.00;468;10.00;1.50;-0.74;0.46
251;100;30528396.00;467;10.53;-1.40;-0.88;0.01
252;100;30614516.00;468;10.37;1.02;-0.44;0.18
253;100;30700620.00;465;10.09;-0.48;-0.38;0.48
254;100;30786728.00;469;10.17;0.35;-0.85;0.60
255;100;30872852.00;475;9.96;0.91;-0.64;0.38
256;100;31045100.00;471;9.19;1.43;-1.11;0.02
257;100;31131204.00;473;9.52;-0.91;-0.72;0.17
258;100;31217336.00;472;9.60;0.10;-1.17;0.29
259;100;31303436.00;470;9.68;0.60;-0.26;0.00
260;100;31389572.00;470;9.27;-1.64;-1.44;0.35
261;100;31475672.00;469;9.68;1.36;-0.68;0.05
262;100;31561796.00;469;9.84;-0.88;-0.74;0.14
263;100;31647920.00;467;9.80;0.72;-1.00;0.40
264;100;31734032.00;468;9.80;0.55;-0.28;0.07
265;100;31820160.00;469;9.48;-1.22;-1.48;0.03
266;100;31906276.00;469;9.84;1.43;-0.69;0.16
267;100;31992400.00;466;9.48;-1.44;-0.94;0.26
268;100;32078504.00;465;9.80;0.98;-0.94;0.16
269;100;32164632.00;465;9.44;-0.18;-0.23;0.01
270;100;32250760.00;467;9.60;-0.33;-1.37;0.09
271;100;32336884.00;467;9.44;0.86;-0.51;0.11
272;100;32423008.00;465;9.84;-1.53;-1.25;0.13
273;100;32509108.00;462;9.96;1.45;-0.88;0.03
274;100;32595248.00;463;10.09;-1.09;-0.66;0.07
275;100;32681340.00;464;10.00;0.60;-0.95;0.39
276;100;32767468.00;464;9.76;0.16;-0.35;0.11
277;100;32853592.00;466;9.72;-0.51;-1.41;0.08
278;100;32939732.00;469;9.72;1.16;-0.76;0.03
279;100;33025860.00;470;9.76;-1.62;-1.12;0.22
280;100;33111976.00;464;9.68;1.08;-0.62;0.07
281;100;33198092.00;462;9.44;-0.57;-0.38;0.30
282;100;33284224.00;462;9.84;-0.07;-1.12;0.55
283;100;33370324.00;464;10.00;0.66;-0.17;0.07
284;100;33456468.00;466;10.45;-1.14;-1.33;0.22
285;100;33542560.00;469;9.76;1.46;-0.80;0.12
286;100;33628684.00;467;9.88;-1.28;-0.79;0.02
287;100;33714804.00;463;9.44;0.69;-1.14;0.23
288;100;33800928.00;462;9.96;0.09;-0.42;0.17
289;100;33887056.00;463;9.96;-0.87;-1.16;0.08
290;100;33973176.00;466;10.17;1.07;-0.86;0.41
291;100;34059320.00;466;10.25;-1.55;-1.15;0.21
292;100;34145408.00;466;9.96;1.12;-0.87;0.13
293;100;34231516.00;464;10.21;-0.44;-0.26;0.21
294;100;34317648.00;464;9.88;-0.15;-1.04;0.40
295;100;34403744.00;464;10.17;0.85;-0.47;0.16
296;100;34489892.00;465;10.09;-1.46;-1.37;0.26
297;100;34576016.00;467;9.88;1.37;-0.87;0.10
298;100;34662124.00;465;9.88;-1.05;-0.65;0.23
299;100;34748236.00;462;9.64;0.27;-1.29;0.35
300;100;34834352.00;461;9.88;0.23;-0.17;0.17
301;100;34920488.00;461;9.60;-1.14;-1.16;0.05
302;100;35006612.00;463;9.68;1.46;-0.78;0.16
303;100;35092732.00;465;9.84;-1.44;-0.96;0.34
304;100;35178860.00;465;9.80;0.74;-1.01;0.18
305;100;35264960.00;463;9.64;-0.19;-0.06;0.26
306;100;35351096.00;463;9.23;-0.61;-1.08;0.17
307;100;35437224.00;465;9.56;1.31;-0.79;0.10
308;100;35523344.00;468;9.56;-1.49;-1.04;0.44
309;100;35609460.00;468;9.84;0.57;-1.16;0.02
310;100;35695568.00;469;9.72;0.11;-0.17;0.15
311;100;35781700.00;469;9.52;-1.19;-1.23;0.04
312;100;35867808.00;466;9.60;1.40;-0.75;0.16
313;100;35953936.00;462;9.60;-1.26;-0.88;0.30
314;100;36040052.00;463;10.17;0.88;-0.94;0.37
315;100;36126156.00;465;9.84;0.29;-0.16;0.23
316;100;36212300.00;468;9.80;-1.04;-1.43;0.00
317;100;36298420.00;469;9.35;1.43;-0.85;0.19
318;100;36384528.00;468;9.27;-1.14;-0.70;0.08
319;100;36470656.00;466;9.48;0.66;-1.04;0.44
320;100;36556756.00;466;9.52;0.50;-0.46;0.00
321;100;36642904.00;466;9.68;-1.27;-1.47;0.15
322;100;36729012.00;465;9.60;1.30;-0.91;0.15
323;100;36815128.00;463;9.72;-1.06;-0.70;0.12
324;100;36901220.00;464;9.92;0.73;-0.95;0.48
325;100;36987332.00;465;9.72;0.71;-0.44;0.16
326;100;37073464.00;468;9.80;-1.32;-1.41;0.27
327;100;37159564.00;469;10.00;1.27;-0.82;0.23
328;100;37245676.00;468;10.09;-0.70;-0.55;0.19
329;100;37331804.00;466;10.21;0.28;-1.30;0.49
330;100;37417932.00;467;9.64;0.88;-0.39;0.16
331;100;37504044.00;468;9.52;-1.60;-1.36;0.32
332;100;37590160.00;467;9.11;1.21;-0.96;0.15
333;100;37676284.00;466;9.48;-0.37;-0.43;0.19
334;100;37762396.00;464;9.60;-0.71;-1.46;0.19
335;100;37848504.00;464;9.64;1.13;-0.70;0.30
336;100;37934644.00;465;9.80;-1.36;-1.19;0.35
337;100;38020768.00;465;9.64;1.02;-1.05;0.19
338;100;38106872.00;464;9.84;0.17;-0.28;0.23
339;100;38192996.00;464;9.48;-0.82;-1.29;0.21
340;100;38279112.00;465;9.72;1.09;-0.80;0.15
341;100;38365228.00;464;9.44;-1.08;-0.93;0.17
342;100;38451348.00;464;9.60;0.82;-1.22;0.29
343;100;38537448.00;464;9.64;0.54;-0.32;0.10
344;100;38623592.00;465;9.96;-1.18;-1.34;0.00
345;100;38709724.00;464;9.84;1.30;-1.00;0.16
346;100;38795828.00;465;9.76;-0.93;-0.71;0.03
347;100;38881960.00;465;9.60;0.49;-1.17;0.44
348;100;38968072.00;464;9.96;0.51;-0.46;0.02
349;100;39054204.00;464;9.64;-1.53;-1.27;0.31
350;100;39140316.00;465;9.72;1.47;-0.84;0.01
351;100;39226420.00;464;9.60;-0.38;-0.45;0.41
352;100;39312544.00;462;9.68;0.13;-1.10;0.57
353;100;39398640.00;465;9.88;0.66;-0.56;0.56
354;100;39484768.00;469;9.76;-1.34;-0.82;0.24
355;100;39570888.00;468;9.68;1.14;-0.95;0.43
356;100;39657012.00;467;9.31;0.31;-0.29;0.10
357;100;39743128.00;465;9.19;-0.96;-1.26;0.08
358;100;39829236.00;463;9.52;1.27;-0.84;0.26
